ID,Name,How do you feel about learning new topics that challenge your thinking?,"When given a complex problem, how do you approach solving it?",How interested are you in the subject matter of the course you are considering?,How do you typically respond to feedback or criticism on your work?,Do you enjoy collaborating with others on projects and assignments?,How do you handle topics or subjects that are difficult for you to understand?,What motivates you to complete a course or subject?,How do you feel about dedicating time outside of class to study or explore the course topic?,"If given a choice, how likely are you to choose elective courses related to this subject?",How do you feel about the career opportunities related to the course you are considering?
1,Alice,d,b,b,d,d,b,d,d,b,c
2,Bob,b,b,c,a,b,b,a,a,a,a
3,Charlie,a,a,d,c,c,d,d,b,c,a
4,David,d,d,c,b,c,a,a,c,c,a
5,Eva,b,b,c,b,c,c,b,c,c,b
6,Frank,d,c,c,c,a,c,d,a,c,c
7,Grace,c,d,c,d,c,d,d,a,c,d
8,Hannah,d,a,a,c,b,a,d,a,c,b
9,Ian,d,a,b,a,b,d,b,a,a,b
10,Jack,b,c,c,c,c,c,c,d,a,a
11,Karen,a,c,d,c,c,c,b,c,c,b
12,Leo,c,b,d,d,b,c,d,a,d,b
13,Mia,a,c,c,d,c,c,d,d,c,a
14,Nina,d,a,d,b,d,c,a,c,d,b
15,Oscar,d,c,a,d,a,b,b,b,a,c
16,Paul,c,d,c,c,b,a,c,a,a,d
17,Quincy,c,a,b,d,d,b,a,d,d,c
18,Rose,b,c,d,a,d,a,a,d,a,d
19,Sam,d,b,a,a,b,c,c,a,c,a
20,Tina,b,b,a,c,a,b,c,a,d,b
21,Uma,a,a,b,b,c,d,d,a,d,c
22,Violet,d,b,b,b,b,c,b,a,a,b
23,Will,b,b,d,b,d,a,a,c,b,c
24,Xander,a,d,c,b,c,c,d,d,d,c
25,Yara,a,b,b,c,a,b,c,b,d,d
